ticker	path	path_candle	path_stra	Net Profit	Net Profit_per	Total Closed Trades	Percent Profitable	Profit Factor	Max Drawdown	Max Drawdown_per	Avg Trade	Avg Trade_per	Avg # Bars in Trades
ABAT	d_price/pine_tree\ABAT_d5_q0.264_id2054_pine.java	d_price/TRAVIEW_stra/ABAT_candles.png	d_price/TRAVIEW_stra/ABAT_stra.png	44.37 USD	0%	46	73.91%	18.198	2.45 USD	0%	0.96 USD	8.93%	3
ABBNY	d_price/pine_tree\ABBNY_d5_q0.191_id1332_pine.java	d_price/TRAVIEW_stra/ABBNY_candles.png	d_price/TRAVIEW_stra/ABBNY_stra.png	9.81 USD	0%	75	58.67%	1.156	58.22 USD	0.01%	0.13 USD	5.1%	30
ABBV	d_price/pine_tree\ABBV_d5_q0.224_id1221_pine.java	d_price/TRAVIEW_stra/ABBV_candles.png	d_price/TRAVIEW_stra/ABBV_stra.png	132.70 USD	0.01%	59	67.8%	10.027	7.69 USD	0%	2.25 USD	2.79%	4
ABCB	d_price/pine_tree\ABCB_d5_q0.175_id715_pine.java	d_price/TRAVIEW_stra/ABCB_candles.png	d_price/TRAVIEW_stra/ABCB_stra.png	27.07 USD	0%	188	48.4%	1.613	17.98 USD	0%	0.14 USD	0.36%	6
ABEO	d_price/pine_tree\ABEO_d5_q0.179_id345_pine.java	d_price/TRAVIEW_stra/ABEO_candles.png	d_price/TRAVIEW_stra/ABEO_stra.png	−221 573.39 USD	−22.16%	142	50.7%	0.538	427 209.38 USD	42.72%	−1 560.38 USD	3.51%	5
ABEV	d_price/pine_tree\ABEV_d5_q0.152_id2039_pine.java	d_price/TRAVIEW_stra/ABEV_candles.png	d_price/TRAVIEW_stra/ABEV_stra.png	4.87 USD	0%	59	59.32%	4.044	0.84 USD	0%	0.08 USD	2.29%	5
ABM	d_price/pine_tree\ABM_d5_q0.198_id790_pine.java	d_price/TRAVIEW_stra/ABM_candles.png	d_price/TRAVIEW_stra/ABM_stra.png	9.51 USD	0%	237	47.26%	1.252	8.39 USD	0%	0.04 USD	0.33%	6
ABR	d_price/pine_tree\ABR_d5_q0.241_id1756_pine.java	d_price/TRAVIEW_stra/ABR_candles.png	d_price/TRAVIEW_stra/ABR_stra.png	28.91 USD	0%	234	61.97%	1.456	51.43 USD	0.01%	0.12 USD	1.62%	13
ABT	d_price/pine_tree\ABT_d5_q0.209_id706_pine.java	d_price/TRAVIEW_stra/ABT_candles.png	d_price/TRAVIEW_stra/ABT_stra.png	−1.28 USD	0%	99	39.39%	0.939	19.01 USD	0%	−0.01 USD	0.16%	6
ABUS	d_price/pine_tree\ABUS_d5_q0.129_id1262_pine.java	d_price/TRAVIEW_stra/ABUS_candles.png	d_price/TRAVIEW_stra/ABUS_stra.png	46.16 USD	0%	157	59.87%	4.394	4.96 USD	0%	0.29 USD	4.99%	4
ACA	d_price/pine_tree\ACA_d5_q0.307_id2029_pine.java	d_price/TRAVIEW_stra/ACA_candles.png	d_price/TRAVIEW_stra/ACA_stra.png	156.65 USD	0.02%	56	87.5%	13.115	9.84 USD	0%	2.80 USD	5.39%	8
ACAD	d_price/pine_tree\ACAD_d5_q0.139_id1575_pine.java	d_price/TRAVIEW_stra/ACAD_candles.png	d_price/TRAVIEW_stra/ACAD_stra.png	3.62 USD	0%	7	71.43%	11.056	0.54 USD	0%	0.52 USD	8.64%	6
ACEL	d_price/pine_tree\ACEL_d5_q0.235_id1179_pine.java	d_price/TRAVIEW_stra/ACEL_candles.png	d_price/TRAVIEW_stra/ACEL_stra.png	12.88 USD	0%	26	88.46%	62.333	1.89 USD	0%	0.50 USD	4.95%	5
ACET	d_price/pine_tree\ACET_d5_q0.18_id326_pine.java	d_price/TRAVIEW_stra/ACET_candles.png	d_price/TRAVIEW_stra/ACET_stra.png	46.75 USD	0%	52	76.92%	6.526	6.37 USD	0%	0.90 USD	7.83%	4
ACGL	d_price/pine_tree\ACGL_d5_q0.241_id1590_pine.java	d_price/TRAVIEW_stra/ACGL_candles.png	d_price/TRAVIEW_stra/ACGL_stra.png	145.25 USD	0.01%	157	70.06%	30.108	5.65 USD	0%	0.93 USD	4.5%	19
ACHC	d_price/pine_tree\ACHC_d5_q0.161_id2072_pine.java	d_price/TRAVIEW_stra/ACHC_candles.png	d_price/TRAVIEW_stra/ACHC_stra.png	106.72 USD	0.01%	92	68.48%	4.262	19.23 USD	0%	1.16 USD	2.95%	4
ACIC	d_price/pine_tree\ACIC_d5_q0.188_id425_pine.java	d_price/TRAVIEW_stra/ACIC_candles.png	d_price/TRAVIEW_stra/ACIC_stra.png	28.62 USD	0%	61	68.85%	3.879	4.50 USD	0%	0.47 USD	5.15%	4
ACIW	d_price/pine_tree\ACIW_d5_q0.193_id2119_pine.java	d_price/TRAVIEW_stra/ACIW_candles.png	d_price/TRAVIEW_stra/ACIW_stra.png	105.02 USD	0.01%	477	60.8%	2.509	9.61 USD	0%	0.22 USD	1.27%	4
ACLS	d_price/pine_tree\ACLS_d5_q0.17_id1607_pine.java	d_price/TRAVIEW_stra/ACLS_candles.png	d_price/TRAVIEW_stra/ACLS_stra.png	95.81 USD	0.01%	242	53.31%	1.601	39.49 USD	0%	0.40 USD	4.13%	13
ACM	d_price/pine_tree\ACM_d5_q0.222_id1159_pine.java	d_price/TRAVIEW_stra/ACM_candles.png	d_price/TRAVIEW_stra/ACM_stra.png	99.54 USD	0.01%	93	64.52%	2.726	40.56 USD	0%	1.07 USD	2.02%	15
ACMR	d_price/pine_tree\ACMR_d5_q0.227_id853_pine.java	d_price/TRAVIEW_stra/ACMR_candles.png	d_price/TRAVIEW_stra/ACMR_stra.png	48.63 USD	0%	29	96.55%	271.167	3.33 USD	0%	1.68 USD	16.82%	5
ACN	d_price/pine_tree\ACN_d5_q0.255_id1660_pine.java	d_price/TRAVIEW_stra/ACN_candles.png	d_price/TRAVIEW_stra/ACN_stra.png	301.57 USD	0.03%	185	50.81%	3.401	39.77 USD	0%	1.63 USD	0.5%	10
ACP	d_price/pine_tree\ACP_d5_q0.27_id1286_pine.java	d_price/TRAVIEW_stra/ACP_candles.png	d_price/TRAVIEW_stra/ACP_stra.png	1.16 USD	0%	12	75%	2.074	1.08 USD	0%	0.10 USD	0.83%	7
ACRE	d_price/pine_tree\ACRE_d5_q0.236_id1634_pine.java	d_price/TRAVIEW_stra/ACRE_candles.png	d_price/TRAVIEW_stra/ACRE_stra.png	30.57 USD	0%	51	78.43%	9.563	2.12 USD	0%	0.60 USD	8.49%	10
ACRS	d_price/pine_tree\ACRS_d5_q0.186_id329_pine.java	d_price/TRAVIEW_stra/ACRS_candles.png	d_price/TRAVIEW_stra/ACRS_stra.png	25.57 USD	0%	46	63.04%	12.117	6.80 USD	0%	0.56 USD	4.77%	4
ADAP	d_price/pine_tree\ADAP_d5_q0.134_id1614_pine.java	d_price/TRAVIEW_stra/ADAP_candles.png	d_price/TRAVIEW_stra/ADAP_stra.png	−3.66 USD	0%	33	54.55%	0.555	5.99 USD	0%	−0.11 USD	−0.07%	6
ADBE	d_price/pine_tree\ADBE_d5_q0.245_id1758_pine.java	d_price/TRAVIEW_stra/ADBE_candles.png	d_price/TRAVIEW_stra/ADBE_stra.png	92.81 USD	0.01%	42	47.62%	2.406	37.86 USD	0%	2.21 USD	0.96%	20
ADC	d_price/pine_tree\ADC_d5_q0.22_id1208_pine.java	d_price/TRAVIEW_stra/ADC_candles.png	d_price/TRAVIEW_stra/ADC_stra.png	25.00 USD	0%	69	52.17%	1.714	23.98 USD	0%	0.36 USD	0.54%	19
ADEA	d_price/pine_tree\ADEA_d5_q0.213_id739_pine.java	d_price/TRAVIEW_stra/ADEA_candles.png	d_price/TRAVIEW_stra/ADEA_stra.png	55.11 USD	0.01%	167	62.87%	6.544	3.10 USD	0%	0.33 USD	6.73%	5
ADI	d_price/pine_tree\ADI_d5_q0.201_id688_pine.java	d_price/TRAVIEW_stra/ADI_candles.png	d_price/TRAVIEW_stra/ADI_stra.png	5.69 USD	0%	25	72%	3.831	4.68 USD	0%	0.23 USD	4.86%	16
ADMA	d_price/pine_tree\ADMA_d5_q0.12_id1652_pine.java	d_price/TRAVIEW_stra/ADMA_candles.png	d_price/TRAVIEW_stra/ADMA_stra.png	23.87 USD	0%	104	72.12%	8.277	2.35 USD	0%	0.23 USD	5.91%	5
ADP	d_price/pine_tree\ADP_d5_q0.236_id2033_pine.java	d_price/TRAVIEW_stra/ADP_candles.png	d_price/TRAVIEW_stra/ADP_stra.png	467.08 USD	0.05%	418	63.64%	4.169	48.71 USD	0%	1.12 USD	1.59%	12
ADSK	d_price/pine_tree\ADSK_d5_q0.264_id239_pine.java	d_price/TRAVIEW_stra/ADSK_candles.png	d_price/TRAVIEW_stra/ADSK_stra.png	481.45 USD	0.05%	379	58.58%	2.193	187.42 USD	0.02%	1.27 USD	2.77%	23
ADT	d_price/pine_tree\ADT_d5_q0.176_id1625_pine.java	d_price/TRAVIEW_stra/ADT_candles.png	d_price/TRAVIEW_stra/ADT_stra.png	8.17 USD	0%	42	73.81%	5.922	0.79 USD	0%	0.19 USD	3.18%	4
ADTN	d_price/pine_tree\ADTN_d5_q0.184_id2096_pine.java	d_price/TRAVIEW_stra/ADTN_candles.png	d_price/TRAVIEW_stra/ADTN_stra.png	7.09 USD	0%	72	54.17%	1.408	10.08 USD	0%	0.10 USD	1.19%	4
ADUS	d_price/pine_tree\ADUS_d5_q0.146_id1587_pine.java	d_price/TRAVIEW_stra/ADUS_candles.png	d_price/TRAVIEW_stra/ADUS_stra.png	50.17 USD	0.01%	41	70.73%	3.379	14.79 USD	0%	1.22 USD	3.3%	6
