Date	Open	High	Low	Close	Volume
2021-12-28 05:00:00	1309.83	1331.41	1301.24	1316.28	407500
2021-12-29 05:00:00	1309.97	1330.0	1305.45	1323.56	405700
2021-12-30 05:00:00	1323.5	1359.61	1320.02	1356.46	441800
2021-12-31 05:00:00	1350.53	1365.97	1342.71	1348.4	317200
2022-01-03 05:00:00	1355.01	1360.77	1287.69	1332.94	488400
2022-01-04 05:00:00	1322.02	1338.95	1231.49	1241.38	912200
2022-01-05 05:00:00	1205.23	1214.38	1112.52	1129.69	1066900
2022-01-06 05:00:00	1105.6	1160.33	1101.19	1156.78	773700
2022-01-07 05:00:00	1116.88	1144.51	1072.91	1085.36	1102400
2022-01-10 05:00:00	1048.42	1057.76	1001.01	1053.31	1372300
2022-01-11 05:00:00	1056.63	1175.6	1052.11	1166.07	1126000
2022-01-12 05:00:00	1186.8	1227.31	1151.01	1210.91	1034900
2022-01-13 05:00:00	1208.54	1208.54	1124.14	1131.01	710500
2022-01-14 05:00:00	1103.51	1143.36	1101.94	1122.74	477200
2022-01-18 05:00:00	1092.1	1148.26	1087.26	1100.75	461300
2022-01-19 05:00:00	1108.0	1120.91	1057.23	1060.94	820600
2022-01-20 05:00:00	1079.31	1148.87	1077.97	1091.31	710300
2022-01-21 05:00:00	1080.73	1115.21	1046.47	1052.56	855200
2022-01-24 05:00:00	1009.0	1028.88	957.6	1026.63	1375700
2022-01-25 05:00:00	998.54	1034.0	982.95	1001.65	749900
2022-01-26 05:00:00	1036.0	1047.1	965.66	975.64	636600
2022-01-27 05:00:00	1002.34	1033.13	981.05	992.5	715500
2022-01-28 05:00:00	992.5	1050.78	971.6	1048.63	642400
2022-01-31 05:00:00	1055.87	1138.57	1055.87	1132.06	555800
2022-02-01 05:00:00	1145.0	1150.0	1097.98	1138.11	475900
2022-02-02 05:00:00	1153.25	1153.47	1078.03	1082.6	389200
2022-02-03 05:00:00	1037.29	1047.21	994.19	999.74	692500
2022-02-04 05:00:00	1004.8	1055.29	984.0	1035.33	625300
2022-02-07 05:00:00	1040.0	1077.21	1033.12	1035.14	384400
2022-02-08 05:00:00	1021.91	1056.73	1015.0	1050.87	338100
2022-02-09 05:00:00	1088.99	1134.72	1068.42	1133.2	592900
2022-02-10 05:00:00	1092.64	1156.76	1085.93	1122.42	539100
2022-02-11 05:00:00	1114.24	1145.0	1079.4	1091.09	503100
2022-02-14 05:00:00	1091.12	1136.36	1075.05	1119.01	479500
2022-02-15 05:00:00	1146.31	1176.87	1145.87	1170.3	467400
2022-02-16 05:00:00	1166.24	1166.24	1095.54	1133.84	559000
2022-02-17 05:00:00	1110.64	1125.05	1017.02	1021.07	722300
2022-02-18 05:00:00	1030.61	1030.61	936.01	937.26	1179000
2022-02-22 05:00:00	913.0	938.0	873.4	887.86	1281300
2022-02-23 05:00:00	993.0	996.15	918.38	920.57	1932800
2022-02-24 05:00:00	861.77	1037.98	858.99	1033.59	1273000
2022-02-25 05:00:00	1042.63	1118.33	1026.93	1111.39	1178700
2022-02-28 05:00:00	1093.39	1151.0	1093.39	1126.65	821500
2022-03-01 05:00:00	1129.73	1176.76	1111.63	1124.52	537400
2022-03-02 05:00:00	1126.28	1148.46	1064.3	1140.9	700600
2022-03-03 05:00:00	1152.0	1154.29	1088.05	1096.76	409700
2022-03-04 05:00:00	1084.9	1107.33	1048.89	1055.78	796700
2022-03-07 05:00:00	1067.99	1069.88	956.37	957.87	657700
2022-03-08 05:00:00	950.0	976.67	913.84	914.78	976400
2022-03-09 05:00:00	955.55	993.53	936.0	984.76	1123500
2022-03-10 05:00:00	961.07	962.72	913.42	931.29	634400
2022-03-11 05:00:00	955.29	955.29	891.63	891.69	575100
2022-03-14 05:00:00	887.92	928.48	877.69	882.47	597300
2022-03-15 05:00:00	884.12	954.73	884.02	952.34	611400
2022-03-16 05:00:00	975.78	1076.14	975.78	1075.97	913600
2022-03-17 05:00:00	1068.54	1150.42	1045.73	1149.09	751200
2022-03-18 05:00:00	1133.28	1191.47	1120.51	1185.53	811600
2022-03-21 05:00:00	1160.0	1182.5	1121.37	1153.84	529100
2022-03-22 05:00:00	1154.72	1222.12	1154.72	1215.07	604500
